,year,female,male,Latitude,Longitude
Kazakhstan,1991,696,2386,48.1012954,66.7780818
Kazakhstan,1992,785,2571,48.1012954,66.7780818
Kazakhstan,1993,829,3190,48.1012954,66.7780818
Kazakhstan,1994,780,3244,48.1012954,66.7780818
Kazakhstan,1995,800,3906,48.1012954,66.7780818
Kazakhstan,1996,777,3996,48.1012954,66.7780818
Kazakhstan,1997,761,3881,48.1012954,66.7780818
Kazakhstan,1998,729,3584,48.1012954,66.7780818
Kazakhstan,1999,663,3328,48.1012954,66.7780818
Kazakhstan,2000,746,3682,48.1012954,66.7780818
Kazakhstan,2001,658,3719,48.1012954,66.7780818
Kazakhstan,2002,678,3562,48.1012954,66.7780818
Kazakhstan,2003,688,3633,48.1012954,66.7780818
Kazakhstan,2004,692,3702,48.1012954,66.7780818
Kazakhstan,2005,634,3269,48.1012954,66.7780818
Kazakhstan,2006,675,3401,48.1012954,66.7780818
Kazakhstan,2007,721,3420,48.1012954,66.7780818
Kazakhstan,2008,767,3230,48.1012954,66.7780818
Kazakhstan,2009,718,3120,48.1012954,66.7780818
Kazakhstan,2010,645,2964,48.1012954,66.7780818
Kazakhstan,2011,608,2793,48.1012954,66.7780818
Kazakhstan,2012,563,2677,48.1012954,66.7780818
Kazakhstan,2013,675,2837,48.1012954,66.7780818
Kazakhstan,2014,563,2556,48.1012954,66.7780818
Kazakhstan,2015,530,2342,48.1012954,66.7780818
Kiribati,1991,2,8,0.3448612,173.6641773
Kiribati,1992,1,3,0.3448612,173.6641773
Kiribati,1993,2,10,0.3448612,173.6641773
Kiribati,1994,2,8,0.3448612,173.6641773
Kiribati,1995,0,2,0.3448612,173.6641773
Kiribati,1996,3,3,0.3448612,173.6641773
Kiribati,1997,0,5,0.3448612,173.6641773
Kiribati,1998,0,4,0.3448612,173.6641773
Kiribati,1999,0,0,0.3448612,173.6641773
Kiribati,2000,0,0,0.3448612,173.6641773
Kiribati,2001,0,0,0.3448612,173.6641773
Kuwait,1985,3,14,29.3796532,47.9734174
Kuwait,1986,4,12,29.3796532,47.9734174
Kuwait,1987,5,11,29.3796532,47.9734174
Kuwait,1993,6,12,29.3796532,47.9734174
Kuwait,1994,12,18,29.3796532,47.9734174
Kuwait,1995,5,21,29.3796532,47.9734174
Kuwait,1996,11,19,29.3796532,47.9734174
Kuwait,1997,17,16,29.3796532,47.9734174
Kuwait,1998,15,20,29.3796532,47.9734174
Kuwait,1999,13,33,29.3796532,47.9734174
Kuwait,2000,14,20,29.3796532,47.9734174
Kuwait,2001,5,25,29.3796532,47.9734174
Kuwait,2002,11,34,29.3796532,47.9734174
Kuwait,2003,14,30,29.3796532,47.9734174
Kuwait,2004,17,28,29.3796532,47.9734174
Kuwait,2005,11,41,29.3796532,47.9734174
Kuwait,2006,11,34,29.3796532,47.9734174
Kuwait,2007,14,37,29.3796532,47.9734174
Kuwait,2008,14,33,29.3796532,47.9734174
Kuwait,2009,21,40,29.3796532,47.9734174
Kuwait,2010,13,26,29.3796532,47.9734174
Kuwait,2011,15,26,29.3796532,47.9734174
Kuwait,2012,19,37,29.3796532,47.9734174
Kuwait,2013,13,28,29.3796532,47.9734174
Kuwait,2014,18,50,29.3796532,47.9734174
Kyrgyzstan,1990,147,400,42.4858224,74.714583
Kyrgyzstan,1991,133,410,42.4858224,74.714583
Kyrgyzstan,1992,106,385,42.4858224,74.714583
Kyrgyzstan,1993,121,442,42.4858224,74.714583
Kyrgyzstan,1994,88,493,42.4858224,74.714583
Kyrgyzstan,1995,138,467,42.4858224,74.714583
Kyrgyzstan,1996,88,392,42.4858224,74.714583
Kyrgyzstan,1997,87,409,42.4858224,74.714583
Kyrgyzstan,1998,88,421,42.4858224,74.714583
Kyrgyzstan,1999,99,457,42.4858224,74.714583
Kyrgyzstan,2000,96,414,42.4858224,74.714583
Kyrgyzstan,2001,77,483,42.4858224,74.714583
Kyrgyzstan,2002,100,467,42.4858224,74.714583
Kyrgyzstan,2003,82,397,42.4858224,74.714583
Kyrgyzstan,2004,75,363,42.4858224,74.714583
Kyrgyzstan,2005,84,386,42.4858224,74.714583
Kyrgyzstan,2006,97,366,42.4858224,74.714583
Kyrgyzstan,2007,116,366,42.4858224,74.714583
Kyrgyzstan,2008,94,379,42.4858224,74.714583
Kyrgyzstan,2009,96,362,42.4858224,74.714583
Kyrgyzstan,2010,105,395,42.4858224,74.714583
Kyrgyzstan,2011,108,363,42.4858224,74.714583
Kyrgyzstan,2012,122,402,42.4858224,74.714583
Kyrgyzstan,2013,97,349,42.4858224,74.714583
Kyrgyzstan,2014,103,358,42.4858224,74.714583
Kyrgyzstan,2015,90,327,42.4858224,74.714583
Latvia,1995,199,825,56.8406494,24.7537645
Latvia,1996,181,741,56.8406494,24.7537645
Latvia,1997,180,706,56.8406494,24.7537645
Latvia,1998,161,678,56.8406494,24.7537645
Latvia,1999,170,593,56.8406494,24.7537645
Latvia,2000,152,618,56.8406494,24.7537645
Latvia,2001,137,571,56.8406494,24.7537645
Latvia,2002,149,521,56.8406494,24.7537645
Latvia,2003,122,482,56.8406494,24.7537645
Latvia,2004,106,457,56.8406494,24.7537645
Latvia,2005,119,445,56.8406494,24.7537645
Latvia,2006,80,407,56.8406494,24.7537645
Latvia,2007,95,358,56.8406494,24.7537645
Latvia,2008,100,427,56.8406494,24.7537645
Latvia,2009,100,416,56.8406494,24.7537645
Latvia,2010,62,376,56.8406494,24.7537645
Latvia,2011,75,365,56.8406494,24.7537645
Latvia,2012,73,371,56.8406494,24.7537645
Latvia,2013,61,322,56.8406494,24.7537645
Latvia,2014,71,311,56.8406494,24.7537645
Latvia,2015,81,306,56.8406494,24.7537645
Lithuania,1995,306,1388,55.3500003,23.7499997
Lithuania,1996,334,1388,55.3500003,23.7499997
Lithuania,1997,284,1348,55.3500003,23.7499997
Lithuania,1998,268,1285,55.3500003,23.7499997
Lithuania,1999,265,1285,55.3500003,23.7499997
Lithuania,2000,314,1317,55.3500003,23.7499997
Lithuania,2001,278,1255,55.3500003,23.7499997
Lithuania,2002,242,1309,55.3500003,23.7499997
Lithuania,2003,256,1199,55.3500003,23.7499997
Lithuania,2004,256,1124,55.3500003,23.7499997
Lithuania,2005,235,1084,55.3500003,23.7499997
Lithuania,2006,196,853,55.3500003,23.7499997
Lithuania,2007,177,848,55.3500003,23.7499997
Lithuania,2008,193,918,55.3500003,23.7499997
Lithuania,2009,186,952,55.3500003,23.7499997
Lithuania,2010,189,829,55.3500003,23.7499997
Lithuania,2011,201,817,55.3500003,23.7499997
Lithuania,2012,174,753,55.3500003,23.7499997
Lithuania,2013,198,887,55.3500003,23.7499997
Lithuania,2014,161,769,55.3500003,23.7499997
Lithuania,2015,169,727,55.3500003,23.7499997
Lithuania,2016,129,693,55.3500003,23.7499997
Luxembourg,1985,16,39,49.6112768,6.129799
Luxembourg,1986,14,37,49.6112768,6.129799
Luxembourg,1987,29,45,49.6112768,6.129799
Luxembourg,1988,17,52,49.6112768,6.129799
Luxembourg,1989,19,54,49.6112768,6.129799
Luxembourg,1990,21,47,49.6112768,6.129799
Luxembourg,1991,23,54,49.6112768,6.129799
Luxembourg,1992,30,29,49.6112768,6.129799
Luxembourg,1993,16,48,49.6112768,6.129799
Luxembourg,1994,13,61,49.6112768,6.129799
Luxembourg,1995,18,45,49.6112768,6.129799
Luxembourg,1996,19,53,49.6112768,6.129799
Luxembourg,1997,21,60,49.6112768,6.129799
Luxembourg,1998,16,48,49.6112768,6.129799
Luxembourg,1999,21,49,49.6112768,6.129799
Luxembourg,2000,15,47,49.6112768,6.129799
Luxembourg,2001,23,50,49.6112768,6.129799
Luxembourg,2002,22,63,49.6112768,6.129799
Luxembourg,2003,8,40,49.6112768,6.129799
Luxembourg,2004,17,45,49.6112768,6.129799
Luxembourg,2005,10,39,49.6112768,6.129799
Luxembourg,2006,18,47,49.6112768,6.129799
Luxembourg,2007,25,53,49.6112768,6.129799
Luxembourg,2008,8,35,49.6112768,6.129799
Luxembourg,2009,12,36,49.6112768,6.129799
Luxembourg,2010,11,43,49.6112768,6.129799
Luxembourg,2011,18,37,49.6112768,6.129799
Luxembourg,2012,12,39,49.6112768,6.129799
Luxembourg,2013,16,24,49.6112768,6.129799
Luxembourg,2014,15,52,49.6112768,6.129799
Luxembourg,2015,19,45,49.6112768,6.129799
Macau,1994,12,15,22.1899448,113.5380454
Maldives,2000,0,0,3.7203503,73.2244152
Maldives,2001,1,2,3.7203503,73.2244152
Maldives,2002,1,2,3.7203503,73.2244152
Maldives,2003,1,3,3.7203503,73.2244152
Maldives,2004,1,0,3.7203503,73.2244152
Maldives,2005,0,1,3.7203503,73.2244152
Maldives,2007,2,3,3.7203503,73.2244152
Maldives,2008,0,0,3.7203503,73.2244152
Maldives,2010,0,1,3.7203503,73.2244152
Maldives,2011,0,2,3.7203503,73.2244152
Malta,1985,0,2,35.8885993,14.4476911
Malta,1986,1,0,35.8885993,14.4476911
Malta,1987,0,1,35.8885993,14.4476911
Malta,1988,1,8,35.8885993,14.4476911
Malta,1989,5,18,35.8885993,14.4476911
Malta,1990,0,8,35.8885993,14.4476911
Malta,1991,1,9,35.8885993,14.4476911
Malta,1992,6,12,35.8885993,14.4476911
Malta,1993,7,9,35.8885993,14.4476911
Malta,1994,3,12,35.8885993,14.4476911
Malta,1995,6,11,35.8885993,14.4476911
Malta,1996,1,9,35.8885993,14.4476911
Malta,1997,4,11,35.8885993,14.4476911
Malta,1998,1,11,35.8885993,14.4476911
Malta,1999,5,22,35.8885993,14.4476911
Malta,2000,6,17,35.8885993,14.4476911
Malta,2001,7,23,35.8885993,14.4476911
Malta,2002,8,11,35.8885993,14.4476911
Malta,2003,3,17,35.8885993,14.4476911
Malta,2004,10,14,35.8885993,14.4476911
Malta,2005,3,16,35.8885993,14.4476911
Malta,2006,5,21,35.8885993,14.4476911
Malta,2007,1,25,35.8885993,14.4476911
Malta,2008,2,12,35.8885993,14.4476911
Malta,2009,3,33,35.8885993,14.4476911
Malta,2010,2,29,35.8885993,14.4476911
Malta,2011,0,20,35.8885993,14.4476911
Malta,2012,6,19,35.8885993,14.4476911
Malta,2013,1,21,35.8885993,14.4476911
Malta,2014,5,27,35.8885993,14.4476911
Malta,2015,7,27,35.8885993,14.4476911
Mauritius,1985,36,68,-20.2759451,57.5703566
Mauritius,1986,8,20,-20.2759451,57.5703566
Mauritius,1987,53,87,-20.2759451,57.5703566
Mauritius,1988,56,111,-20.2759451,57.5703566
Mauritius,1989,37,107,-20.2759451,57.5703566
Mauritius,1990,56,91,-20.2759451,57.5703566
Mauritius,1991,43,94,-20.2759451,57.5703566
Mauritius,1992,46,100,-20.2759451,57.5703566
Mauritius,1993,45,93,-20.2759451,57.5703566
Mauritius,1994,22,107,-20.2759451,57.5703566
Mauritius,1995,32,115,-20.2759451,57.5703566
Mauritius,1996,36,117,-20.2759451,57.5703566
Mauritius,1997,20,102,-20.2759451,57.5703566
Mauritius,1998,41,114,-20.2759451,57.5703566
Mauritius,1999,54,120,-20.2759451,57.5703566
Mauritius,2000,30,107,-20.2759451,57.5703566
Mauritius,2001,37,76,-20.2759451,57.5703566
Mauritius,2002,29,102,-20.2759451,57.5703566
Mauritius,2003,24,64,-20.2759451,57.5703566
Mauritius,2004,22,75,-20.2759451,57.5703566
Mauritius,2005,23,79,-20.2759451,57.5703566
Mauritius,2006,29,89,-20.2759451,57.5703566
Mauritius,2007,30,97,-20.2759451,57.5703566
Mauritius,2008,12,72,-20.2759451,57.5703566
Mauritius,2009,23,92,-20.2759451,57.5703566
Mauritius,2010,22,76,-20.2759451,57.5703566
Mauritius,2011,23,95,-20.2759451,57.5703566
Mauritius,2012,26,89,-20.2759451,57.5703566
Mauritius,2013,15,83,-20.2759451,57.5703566
Mauritius,2014,24,96,-20.2759451,57.5703566
Mauritius,2015,26,78,-20.2759451,57.5703566
Mauritius,2016,15,83,-20.2759451,57.5703566
Mexico,1985,265,1279,19.4326296,-99.1331785
Mexico,1986,269,1445,19.4326296,-99.1331785
Mexico,1987,285,1416,19.4326296,-99.1331785
Mexico,1988,280,1423,19.4326296,-99.1331785
Mexico,1989,285,1580,19.4326296,-99.1331785
Mexico,1990,278,1648,19.4326296,-99.1331785
Mexico,1991,314,1789,19.4326296,-99.1331785
Mexico,1992,338,1899,19.4326296,-99.1331785
Mexico,1993,331,2011,19.4326296,-99.1331785
Mexico,1994,393,2195,19.4326296,-99.1331785
Mexico,1995,443,2434,19.4326296,-99.1331785
Mexico,1996,494,2514,19.4326296,-99.1331785
Mexico,1997,539,2811,19.4326296,-99.1331785
Mexico,1998,510,2802,19.4326296,-99.1331785
Mexico,1999,508,2819,19.4326296,-99.1331785
Mexico,2000,537,2919,19.4326296,-99.1331785
Mexico,2001,672,3088,19.4326296,-99.1331785
Mexico,2002,656,3170,19.4326296,-99.1331785
Mexico,2003,694,3376,19.4326296,-99.1331785
Mexico,2004,675,3381,19.4326296,-99.1331785
Mexico,2005,730,3544,19.4326296,-99.1331785
Mexico,2006,709,3521,19.4326296,-99.1331785
Mexico,2007,762,3523,19.4326296,-99.1331785
Mexico,2008,860,3782,19.4326296,-99.1331785
Mexico,2009,966,4057,19.4326296,-99.1331785
Mexico,2010,900,3958,19.4326296,-99.1331785
Mexico,2011,1071,4487,19.4326296,-99.1331785
Mexico,2012,1051,4330,19.4326296,-99.1331785
Mexico,2013,1043,4668,19.4326296,-99.1331785
Mexico,2014,1228,4950,19.4326296,-99.1331785
Mexico,2015,1248,4986,19.4326296,-99.1331785
Mongolia,2016,52,371,43.9382593,-79.2235563
Montenegro,2000,0,0,-12.6998188,-38.3260762
Montenegro,2001,0,0,-12.6998188,-38.3260762
Montenegro,2002,0,0,-12.6998188,-38.3260762
Montenegro,2003,0,0,-12.6998188,-38.3260762
Montenegro,2004,0,0,-12.6998188,-38.3260762
Montenegro,2005,36,82,-12.6998188,-38.3260762
Montenegro,2006,0,0,-12.6998188,-38.3260762
Montenegro,2007,32,89,-12.6998188,-38.3260762
Montenegro,2008,46,80,-12.6998188,-38.3260762
Montenegro,2009,30,77,-12.6998188,-38.3260762
Netherlands,1985,590,1048,52.2434979,5.6343227
Netherlands,1986,606,998,52.2434979,5.6343227
Netherlands,1987,621,995,52.2434979,5.6343227
Netherlands,1988,558,965,52.2434979,5.6343227
Netherlands,1989,567,953,52.2434979,5.6343227
Netherlands,1990,541,909,52.2434979,5.6343227
Netherlands,1991,578,1033,52.2434979,5.6343227
Netherlands,1992,546,1041,52.2434979,5.6343227
Netherlands,1993,535,1020,52.2434979,5.6343227
Netherlands,1994,500,1084,52.2434979,5.6343227
Netherlands,1995,511,1000,52.2434979,5.6343227
Netherlands,1996,534,1043,52.2434979,5.6343227
Netherlands,1997,530,1042,52.2434979,5.6343227
Netherlands,1998,517,1002,52.2434979,5.6343227
Netherlands,1999,503,1016,52.2434979,5.6343227
Netherlands,2000,501,1000,52.2434979,5.6343227
Netherlands,2001,464,1010,52.2434979,5.6343227
Netherlands,2002,507,1063,52.2434979,5.6343227
Netherlands,2003,484,1018,52.2434979,5.6343227
Netherlands,2004,492,1022,52.2434979,5.6343227
Netherlands,2005,500,1074,52.2434979,5.6343227
Netherlands,2006,479,1046,52.2434979,5.6343227
Netherlands,2007,410,944,52.2434979,5.6343227
Netherlands,2008,448,991,52.2434979,5.6343227
Netherlands,2009,462,1068,52.2434979,5.6343227
Netherlands,2010,477,1127,52.2434979,5.6343227
Netherlands,2011,513,1137,52.2434979,5.6343227
Netherlands,2012,570,1186,52.2434979,5.6343227
Netherlands,2013,549,1307,52.2434979,5.6343227
Netherlands,2014,589,1250,52.2434979,5.6343227
Netherlands,2015,591,1282,52.2434979,5.6343227
Netherlands,2016,613,1273,52.2434979,5.6343227
New Zealand,1985,83,255,-41.5000831,172.8344077
New Zealand,1986,113,301,-41.5000831,172.8344077
New Zealand,1987,100,363,-41.5000831,172.8344077
New Zealand,1988,103,381,-41.5000831,172.8344077
New Zealand,1989,93,372,-41.5000831,172.8344077
New Zealand,1990,92,363,-41.5000831,172.8344077
New Zealand,1991,94,380,-41.5000831,172.8344077
New Zealand,1992,96,397,-41.5000831,172.8344077
New Zealand,1993,94,349,-41.5000831,172.8344077
New Zealand,1994,103,409,-41.5000831,172.8344077
New Zealand,1995,116,429,-41.5000831,172.8344077
New Zealand,1996,112,428,-41.5000831,172.8344077
New Zealand,1997,121,441,-41.5000831,172.8344077
New Zealand,1998,132,442,-41.5000831,172.8344077
New Zealand,1999,131,385,-41.5000831,172.8344077
New Zealand,2000,83,375,-41.5000831,172.8344077
New Zealand,2001,119,389,-41.5000831,172.8344077
New Zealand,2002,113,354,-41.5000831,172.8344077
New Zealand,2003,141,378,-41.5000831,172.8344077
New Zealand,2004,113,382,-41.5000831,172.8344077
New Zealand,2005,132,382,-41.5000831,172.8344077
New Zealand,2006,139,388,-41.5000831,172.8344077
New Zealand,2007,118,376,-41.5000831,172.8344077
New Zealand,2008,139,381,-41.5000831,172.8344077
New Zealand,2009,118,394,-41.5000831,172.8344077
New Zealand,2010,149,387,-41.5000831,172.8344077
New Zealand,2011,116,377,-41.5000831,172.8344077
New Zealand,2012,145,404,-41.5000831,172.8344077
New Zealand,2013,147,366,-41.5000831,172.8344077
Nicaragua,2010,77,274,12.6090157,-85.2936911
Nicaragua,2011,93,276,12.6090157,-85.2936911
Nicaragua,2012,82,234,12.6090157,-85.2936911
Nicaragua,2013,75,276,12.6090157,-85.2936911
Nicaragua,2014,70,241,12.6090157,-85.2936911
Nicaragua,2015,85,230,12.6090157,-85.2936911
Norway,1986,160,419,64.5731537,11.52803643954819
Norway,1987,163,486,64.5731537,11.52803643954819
Norway,1988,198,510,64.5731537,11.52803643954819
Norway,1989,179,481,64.5731537,11.52803643954819
Norway,1990,171,488,64.5731537,11.52803643954819
Norway,1991,176,499,64.5731537,11.52803643954819
Norway,1992,167,449,64.5731537,11.52803643954819
Norway,1993,141,449,64.5731537,11.52803643954819
Norway,1994,152,379,64.5731537,11.52803643954819
Norway,1995,137,411,64.5731537,11.52803643954819
Norway,1996,128,389,64.5731537,11.52803643954819
Norway,1997,146,387,64.5731537,11.52803643954819
Norway,1998,149,399,64.5731537,11.52803643954819
Norway,1999,153,430,64.5731537,11.52803643954819
Norway,2000,132,409,64.5731537,11.52803643954819
Norway,2001,138,411,64.5731537,11.52803643954819
Norway,2002,132,362,64.5731537,11.52803643954819
Norway,2003,128,374,64.5731537,11.52803643954819
Norway,2004,170,359,64.5731537,11.52803643954819
Norway,2005,173,360,64.5731537,11.52803643954819
Norway,2006,141,391,64.5731537,11.52803643954819
Norway,2007,149,336,64.5731537,11.52803643954819
Norway,2008,158,347,64.5731537,11.52803643954819
Norway,2009,157,416,64.5731537,11.52803643954819
Norway,2010,164,384,64.5731537,11.52803643954819
Norway,2011,164,434,64.5731537,11.52803643954819
Norway,2012,146,369,64.5731537,11.52803643954819
Norway,2013,176,378,64.5731537,11.52803643954819
Norway,2014,147,401,64.5731537,11.52803643954819
Norway,2015,190,400,64.5731537,11.52803643954819
Oman,2009,0,13,42.2679001,26.9246399
Oman,2010,0,13,42.2679001,26.9246399
Oman,2014,0,7,42.2679001,26.9246399
Panama,1985,12,44,8.559559,-81.1308434
Panama,1986,15,67,8.559559,-81.1308434
Panama,1987,21,64,8.559559,-81.1308434
Panama,1988,21,66,8.559559,-81.1308434
Panama,1989,9,61,8.559559,-81.1308434
Panama,1996,15,98,8.559559,-81.1308434
Panama,1997,21,124,8.559559,-81.1308434
Panama,1998,24,124,8.559559,-81.1308434
Panama,1999,19,124,8.559559,-81.1308434
Panama,2000,19,124,8.559559,-81.1308434
Panama,2001,23,139,8.559559,-81.1308434
Panama,2002,30,130,8.559559,-81.1308434
Panama,2003,21,174,8.559559,-81.1308434
Panama,2004,34,152,8.559559,-81.1308434
Panama,2005,24,148,8.559559,-81.1308434
Panama,2006,13,172,8.559559,-81.1308434
Panama,2007,21,150,8.559559,-81.1308434
Panama,2008,32,154,8.559559,-81.1308434
Panama,2009,28,149,8.559559,-81.1308434
Panama,2010,21,130,8.559559,-81.1308434
Panama,2011,19,125,8.559559,-81.1308434
Panama,2012,18,117,8.559559,-81.1308434
Panama,2013,13,117,8.559559,-81.1308434
Panama,2014,20,127,8.559559,-81.1308434
Panama,2015,19,91,8.559559,-81.1308434
Paraguay,1985,27,36,-23.3165935,-58.1693445
Paraguay,1986,23,33,-23.3165935,-58.1693445
Paraguay,1987,23,39,-23.3165935,-58.1693445
Paraguay,1989,19,48,-23.3165935,-58.1693445
Paraguay,1990,50,49,-23.3165935,-58.1693445
Paraguay,1991,27,48,-23.3165935,-58.1693445
Paraguay,1994,27,81,-23.3165935,-58.1693445
Paraguay,1995,35,83,-23.3165935,-58.1693445
Paraguay,1996,30,69,-23.3165935,-58.1693445
Paraguay,1997,41,85,-23.3165935,-58.1693445
Paraguay,1998,45,93,-23.3165935,-58.1693445
Paraguay,1999,55,106,-23.3165935,-58.1693445
Paraguay,2000,47,107,-23.3165935,-58.1693445
Paraguay,2001,54,98,-23.3165935,-58.1693445
Paraguay,2002,66,111,-23.3165935,-58.1693445
Paraguay,2003,45,129,-23.3165935,-58.1693445
Paraguay,2004,77,157,-23.3165935,-58.1693445
Paraguay,2005,84,155,-23.3165935,-58.1693445
Paraguay,2006,69,182,-23.3165935,-58.1693445
Paraguay,2007,68,159,-23.3165935,-58.1693445
Paraguay,2008,62,160,-23.3165935,-58.1693445
Paraguay,2009,70,213,-23.3165935,-58.1693445
Paraguay,2010,63,160,-23.3165935,-58.1693445
Paraguay,2011,76,222,-23.3165935,-58.1693445
Paraguay,2012,88,187,-23.3165935,-58.1693445
Paraguay,2013,76,247,-23.3165935,-58.1693445
Paraguay,2014,110,269,-23.3165935,-58.1693445
Philippines,1992,103,244,12.7503486,122.7312101
Philippines,1993,340,506,12.7503486,122.7312101
Philippines,1997,219,595,12.7503486,122.7312101
Philippines,1998,218,665,12.7503486,122.7312101
Philippines,1999,255,788,12.7503486,122.7312101
Philippines,2000,358,1045,12.7503486,122.7312101
Philippines,2001,277,927,12.7503486,122.7312101
Philippines,2002,302,999,12.7503486,122.7312101
Philippines,2003,402,1142,12.7503486,122.7312101
Philippines,2006,402,1386,12.7503486,122.7312101
Philippines,2007,406,1292,12.7503486,122.7312101
Philippines,2008,409,1411,12.7503486,122.7312101
Philippines,2009,525,1549,12.7503486,122.7312101
Philippines,2010,487,1629,12.7503486,122.7312101
Philippines,2011,570,1879,12.7503486,122.7312101
Poland,1990,879,4091,52.215933,19.134422
Poland,1991,868,4448,52.215933,19.134422
Poland,1992,981,4732,52.215933,19.134422
Poland,1993,983,4641,52.215933,19.134422
Poland,1994,891,4628,52.215933,19.134422
Poland,1995,937,4562,52.215933,19.134422
Poland,1996,909,4537,52.215933,19.134422
Poland,1999,884,4895,52.215933,19.134422
Poland,2000,972,4869,52.215933,19.134422
Poland,2001,850,5005,52.215933,19.134422
Poland,2002,992,4933,52.215933,19.134422
Poland,2003,888,4948,52.215933,19.134422
Poland,2004,910,5162,52.215933,19.134422
Poland,2005,907,5138,52.215933,19.134422
Poland,2006,858,4947,52.215933,19.134422
Poland,2007,812,4472,52.215933,19.134422
Poland,2008,812,4870,52.215933,19.134422
Poland,2009,946,5531,52.215933,19.134422
Poland,2010,840,5517,52.215933,19.134422
Poland,2011,760,5353,52.215933,19.134422
Poland,2012,810,5558,52.215933,19.134422
Poland,2013,840,5378,52.215933,19.134422
Poland,2014,811,5123,52.215933,19.134422
Poland,2015,723,4697,52.215933,19.134422
Portugal,1985,290,693,39.6621648,-8.1353519
Portugal,1986,269,672,39.6621648,-8.1353519
Portugal,1987,251,709,39.6621648,-8.1353519
Portugal,1988,196,623,39.6621648,-8.1353519
Portugal,1989,198,549,39.6621648,-8.1353519
Portugal,1990,228,642,39.6621648,-8.1353519
Portugal,1991,234,708,39.6621648,-8.1353519
Portugal,1992,236,630,39.6621648,-8.1353519
Portugal,1993,194,586,39.6621648,-8.1353519
Portugal,1994,175,587,39.6621648,-8.1353519
Portugal,1995,227,582,39.6621648,-8.1353519
Portugal,1996,162,491,39.6621648,-8.1353519
Portugal,1997,145,483,39.6621648,-8.1353519
Portugal,1998,140,416,39.6621648,-8.1353519
Portugal,1999,138,407,39.6621648,-8.1353519
Portugal,2000,107,417,39.6621648,-8.1353519
Portugal,2001,175,586,39.6621648,-8.1353519
Portugal,2002,263,947,39.6621648,-8.1353519
Portugal,2003,267,889,39.6621648,-8.1353519
Portugal,2007,269,751,39.6621648,-8.1353519
Portugal,2008,244,794,39.6621648,-8.1353519
Portugal,2009,222,803,39.6621648,-8.1353519
Portugal,2010,265,834,39.6621648,-8.1353519
Portugal,2011,223,794,39.6621648,-8.1353519
Portugal,2012,217,859,39.6621648,-8.1353519
Portugal,2013,241,811,39.6621648,-8.1353519
Portugal,2014,298,924,39.6621648,-8.1353519
Puerto Rico,1985,35,234,18.2247706,-66.4858295
Puerto Rico,1986,38,272,18.2247706,-66.4858295
Puerto Rico,1987,38,234,18.2247706,-66.4858295
Puerto Rico,1988,30,284,18.2247706,-66.4858295
Puerto Rico,1989,35,292,18.2247706,-66.4858295
Puerto Rico,1990,38,333,18.2247706,-66.4858295
Puerto Rico,1991,36,319,18.2247706,-66.4858295
Puerto Rico,1992,35,279,18.2247706,-66.4858295
Puerto Rico,1993,34,311,18.2247706,-66.4858295
Puerto Rico,1994,35,320,18.2247706,-66.4858295
Puerto Rico,1995,34,255,18.2247706,-66.4858295
Puerto Rico,1996,34,297,18.2247706,-66.4858295
Puerto Rico,1997,19,254,18.2247706,-66.4858295
Puerto Rico,1998,31,290,18.2247706,-66.4858295
Puerto Rico,1999,32,257,18.2247706,-66.4858295
Puerto Rico,2000,27,278,18.2247706,-66.4858295
Puerto Rico,2001,34,255,18.2247706,-66.4858295
Puerto Rico,2002,37,202,18.2247706,-66.4858295
Puerto Rico,2003,22,240,18.2247706,-66.4858295
Puerto Rico,2004,23,256,18.2247706,-66.4858295
Puerto Rico,2005,41,248,18.2247706,-66.4858295
Puerto Rico,2006,22,243,18.2247706,-66.4858295
Puerto Rico,2007,43,228,18.2247706,-66.4858295
Puerto Rico,2008,47,253,18.2247706,-66.4858295
Puerto Rico,2009,29,301,18.2247706,-66.4858295
Puerto Rico,2010,45,241,18.2247706,-66.4858295
Puerto Rico,2011,42,216,18.2247706,-66.4858295
Puerto Rico,2012,44,204,18.2247706,-66.4858295
Puerto Rico,2013,37,204,18.2247706,-66.4858295
Puerto Rico,2014,32,188,18.2247706,-66.4858295
Puerto Rico,2015,25,201,18.2247706,-66.4858295
Qatar,1995,0,0,39.1074426,47.5061085
Qatar,2001,5,18,39.1074426,47.5061085
Qatar,2004,1,20,39.1074426,47.5061085
Qatar,2005,1,16,39.1074426,47.5061085
Qatar,2006,5,24,39.1074426,47.5061085
Qatar,2007,4,37,39.1074426,47.5061085
Qatar,2008,2,31,39.1074426,47.5061085
Qatar,2009,3,41,39.1074426,47.5061085
Qatar,2010,1,46,39.1074426,47.5061085
Qatar,2011,5,45,39.1074426,47.5061085
Qatar,2012,5,38,39.1074426,47.5061085
Qatar,2013,1,36,39.1074426,47.5061085
Qatar,2014,3,52,39.1074426,47.5061085
Qatar,2015,9,57,39.1074426,47.5061085
Qatar,2016,5,63,39.1074426,47.5061085
Republic of Korea,1985,998,2691,36.638392,127.6961188
Republic of Korea,1986,890,2568,36.638392,127.6961188
Republic of Korea,1987,901,2400,36.638392,127.6961188
Republic of Korea,1988,831,2118,36.638392,127.6961188
Republic of Korea,1989,899,2124,36.638392,127.6961188
Republic of Korea,1990,962,2197,36.638392,127.6961188
Republic of Korea,1991,930,2139,36.638392,127.6961188
Republic of Korea,1992,1066,2467,36.638392,127.6961188
